,Survived,Class,Sex,Age
1,Yes,1st,Male,Child
2,Yes,1st,Male,Child
3,Yes,1st,Male,Child
4,Yes,1st,Male,Child
5,Yes,1st,Male,Child
6,No,1st,Male,Adult
7,No,1st,Male,Adult
8,No,1st,Male,Adult
9,No,1st,Male,Adult
10,No,1st,Male,Adult
11,No,1st,Male,Adult
12,No,1st,Male,Adult
13,No,1st,Male,Adult
14,No,1st,Male,Adult
15,No,1st,Male,Adult
16,No,1st,Male,Adult
17,No,1st,Male,Adult
18,No,1st,Male,Adult
19,No,1st,Male,Adult
20,No,1st,Male,Adult
21,No,1st,Male,Adult
22,No,1st,Male,Adult
23,No,1st,Male,Adult
24,No,1st,Male,Adult
25,No,1st,Male,Adult
26,No,1st,Male,Adult
27,No,1st,Male,Adult
28,No,1st,Male,Adult
29,No,1st,Male,Adult
30,No,1st,Male,Adult
31,No,1st,Male,Adult
32,No,1st,Male,Adult
33,No,1st,Male,Adult
34,No,1st,Male,Adult
35,No,1st,Male,Adult
36,No,1st,Male,Adult
37,No,1st,Male,Adult
38,No,1st,Male,Adult
39,No,1st,Male,Adult
40,No,1st,Male,Adult
41,No,1st,Male,Adult
42,No,1st,Male,Adult
43,No,1st,Male,Adult
44,No,1st,Male,Adult
45,No,1st,Male,Adult
46,No,1st,Male,Adult
47,No,1st,Male,Adult
48,No,1st,Male,Adult
49,No,1st,Male,Adult
50,No,1st,Male,Adult
51,No,1st,Male,Adult
52,No,1st,Male,Adult
53,No,1st,Male,Adult
54,No,1st,Male,Adult
55,No,1st,Male,Adult
56,No,1st,Male,Adult
57,No,1st,Male,Adult
58,No,1st,Male,Adult
59,No,1st,Male,Adult
60,No,1st,Male,Adult
61,No,1st,Male,Adult
62,No,1st,Male,Adult
63,No,1st,Male,Adult
64,No,1st,Male,Adult
65,No,1st,Male,Adult
66,No,1st,Male,Adult
67,No,1st,Male,Adult
68,No,1st,Male,Adult
69,No,1st,Male,Adult
70,No,1st,Male,Adult
71,No,1st,Male,Adult
72,No,1st,Male,Adult
73,No,1st,Male,Adult
74,No,1st,Male,Adult
75,No,1st,Male,Adult
76,No,1st,Male,Adult
77,No,1st,Male,Adult
78,No,1st,Male,Adult
79,No,1st,Male,Adult
80,No,1st,Male,Adult
81,No,1st,Male,Adult
82,No,1st,Male,Adult
83,No,1st,Male,Adult
84,No,1st,Male,Adult
85,No,1st,Male,Adult
86,No,1st,Male,Adult
87,No,1st,Male,Adult
88,No,1st,Male,Adult
89,No,1st,Male,Adult
90,No,1st,Male,Adult
91,No,1st,Male,Adult
92,No,1st,Male,Adult
93,No,1st,Male,Adult
94,No,1st,Male,Adult
95,No,1st,Male,Adult
96,No,1st,Male,Adult
97,No,1st,Male,Adult
98,No,1st,Male,Adult
99,No,1st,Male,Adult
100,No,1st,Male,Adult
101,No,1st,Male,Adult
102,No,1st,Male,Adult
103,No,1st,Male,Adult
104,No,1st,Male,Adult
105,No,1st,Male,Adult
106,No,1st,Male,Adult
107,No,1st,Male,Adult
108,No,1st,Male,Adult
109,No,1st,Male,Adult
110,No,1st,Male,Adult
111,No,1st,Male,Adult
112,No,1st,Male,Adult
113,No,1st,Male,Adult
114,No,1st,Male,Adult
115,No,1st,Male,Adult
116,No,1st,Male,Adult
117,No,1st,Male,Adult
118,No,1st,Male,Adult
119,No,1st,Male,Adult
120,No,1st,Male,Adult
121,No,1st,Male,Adult
122,No,1st,Male,Adult
123,No,1st,Male,Adult
124,Yes,1st,Male,Adult
125,Yes,1st,Male,Adult
126,Yes,1st,Male,Adult
127,Yes,1st,Male,Adult
128,Yes,1st,Male,Adult
129,Yes,1st,Male,Adult
130,Yes,1st,Male,Adult
131,Yes,1st,Male,Adult
132,Yes,1st,Male,Adult
133,Yes,1st,Male,Adult
134,Yes,1st,Male,Adult
135,Yes,1st,Male,Adult
136,Yes,1st,Male,Adult
137,Yes,1st,Male,Adult
138,Yes,1st,Male,Adult
139,Yes,1st,Male,Adult
140,Yes,1st,Male,Adult
